epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,522.69,0.54291,1.04627,0.51348,1.08848,0.91782,0.75031,0.81976,0.65138,0.911,0.74475,0.81597,0.57399,0.76284,1.89977,0.82993,1.14428,0.000927685,0.000927685,0.000927685
52,532.809,0.54056,1.00158,0.49024,1.07829,0.89553,0.74207,0.78532,0.63473,0.883,0.7629,0.79454,0.55858,0.77124,2.05146,0.95859,1.14354,0.000924019,0.000924019,0.000924019
53,542.953,0.53058,1.02158,0.4984,1.07713,0.89987,0.76101,0.79014,0.6386,0.89803,0.75924,0.79026,0.55803,0.74101,2.01306,0.88445,1.12025,0.000920352,0.000920352,0.000920352
54,553.156,0.54397,1.01652,0.50832,1.08757,0.88501,0.75757,0.79016,0.63604,0.88934,0.7613,0.79416,0.57011,0.7506,1.92579,0.94926,1.14044,0.000916686,0.000916686,0.000916686
55,563.287,0.54714,1.00727,0.50833,1.084,0.88882,0.78211,0.81306,0.6629,0.89663,0.78513,0.81278,0.58512,0.72448,1.90616,0.90468,1.10567,0.00091302,0.00091302,0.00091302
56,573.558,0.54885,1.01879,0.49693,1.09655,0.9016,0.76797,0.81382,0.66294,0.90646,0.77377,0.81684,0.59188,0.72588,1.96992,0.85168,1.08635,0.000909353,0.000909353,0.000909353
57,583.975,0.52945,1.03831,0.49446,1.08879,0.87869,0.74862,0.7957,0.64621,0.89858,0.75343,0.80866,0.57743,0.72953,1.80717,0.89485,1.12689,0.000905687,0.000905687,0.000905687
58,594.052,0.53169,0.97509,0.48549,1.08049,0.87827,0.7598,0.78173,0.6424,0.87432,0.7706,0.78539,0.55519,0.79432,2.05548,1.04559,1.16421,0.000902021,0.000902021,0.000902021
59,604.204,0.53877,0.98942,0.47403,1.0734,0.89434,0.74662,0.81279,0.66456,0.8942,0.74675,0.81083,0.58287,0.71438,2.02548,0.86272,1.09533,0.000898355,0.000898355,0.000898355
60,614.347,0.53821,0.99253,0.48687,1.08424,0.87538,0.7648,0.80185,0.65445,0.88375,0.7761,0.80842,0.58131,0.83698,2.07465,0.96248,1.20995,0.000894688,0.000894688,0.000894688
61,624.519,0.54388,1.02306,0.49733,1.08858,0.89649,0.72704,0.79225,0.64848,0.9029,0.73567,0.80109,0.57788,0.73004,1.97104,0.83984,1.11141,0.000891022,0.000891022,0.000891022
